arquivo_original,arquivo_final,nome_estabelecimento,instagram,texto_experiencia,endereco
hm-food-cafe.jpg,hm-food-cafe.jpg,HM Food Café,@hmfoddcafe,"Na compra de 1 prato, seu acompanhante ganha outro de igual ou menor valor. Válido somente no almoço de segunda a sexta",Rua Teodoro Sampaio 1027
icone-asiatico.jpg,icone-asiatico.jpg,Ícone Asiático,@iconeasiatico,"Primeiro carimbo: Na compra de 1 entrada, ganhe outra de igual ou menor valor. Segundo carimbo: Na compra de 1 prato, seu acompanhante ganha outro de igual ou menor valor. Não é válido para menus, especiais do dia e pratos com frutos do mar. Não é cumulativo com outras promoções.",Rua Fidalga 79
nos-otros.jpg,nos-otros.jpg,Nos Otros,@nos.otros,"Na compra de 1 pan y tomat, ganhe outro pan y tomat. Válido de Terça a quinta.",Rua Cônigo Eugênio Leite 727
nour.jpg,nour.jpg,Nour,@nourbrasil,"Na compra de 1 prato, seu acompanhante ganha outro de igual ou menor valor. Exceto Kafta de Cordeiro, Filé Mignon e Linguiça Merguez.",Rua dos Pinheiros 277
o-c-do-padre.jpg,o-c-do-padre.jpg,O C do Padre,@ocdopadre,"Na compra de 1 prato, seu acompanhante ganha outro de igual ou menor valor. Válido apenas no horário do almoço. f Fs Após às 14h30, na compra dg 42 Era É j de qualquer lanche ou Nm EANES k porção, seu acompanhante A RA NPR Te ganha outro de igual ou Duda a ] menor valor.",Rua Padre Carvalho 799
ombra.jpg,ombra.jpg,Ombra,@ombra_sp,"Na compra de 1 drink ou | taça de vinho, ganhe 1 pizza ou 1 piadina.",Rua Lisboa 579
o-pasquim.jpg,o-pasquim.jpg,O Pasquim,@opasquimbar,Na compra de um PETISCO e um DRINK seu acompanhante ganha outro petisco e outro drink de igual ou menor valor. válido de segunda a sexta-feira),Rua Fradique Coutinho 1097
othe.jpg,othe.jpg,Othê,@othe.sp,Primeiro Carimbo: na compra de 1 entrada ganhe outra entrada de igual ou menor valor. Segundo Carimbo: na compra de 1 prato* seu acompanhante ganha outro prato de igual ou menor valor. Exceto o prato Costela de Minas. Não é cumulativo com outras promoções. ou festivais e não é válido em pratos do almoço executivo. PET FRIENDLY,Rua Morato Coelho 789
panda-ya-2.jpg,panda-ya-2.jpg,Panda Ya,@pandaya.dumpling,Na compra de uma porção de Guioza ganhe outra de igual ou menor valor,Rua Fernão Dias 604
pintxos-bar.jpg,pintxos-bar.jpg,Pintxos Bar,@pintxos.bar,"Na compra de 1 pintxo, ganhe outro pintxo de igual ou menor valor.",Rua Inácio Pereira da Rocha 54
pita-kebab.jpg,pita-kebab.jpg,Pita Kebab,@pitakebab.sp,"Na compra de 2 pratos principais, ganhe 1 Mezze de entrada e nossa deliciosa Torta Zebra de sobremesa.",Rua Francisco Leitão 282
gua-co.jpg,gua-co.jpg,Gua.co,@qua.co,"Na compra de 1 prato principal, ganhe um taco.",Rua dos Pinheiros 861
quadrado-restaurante.jpg,quadrado-restaurante.jpg,Quadrado Restaurante,@quadradorestaurante,"Na compra de 1 entrada* Ttaça de vinho, seu acompanhante ganha outra entrada* e outra taça de vinho de igual ou menor valor. Exceto as entradas Uxua e Caco.",Rua dos Pinheiros 266
sampa-vinho.jpg,sampa-vinho.jpg,Sampa Vinho,@sampavinho,"Na compra de 2 taças de vinho ou de espumante, ganhe 1 opção de cardápio para harmonizar.",Rua Ferreira de Araújo 361
sur-parrilla.jpg,sur-parrilla.jpg,Sur Parrilla,@sur_parrilla,"Na compra de 1 hamburguer, seu acompanhante ganha outro de igual ou menor valor.",Rua Padre Carvalho 365
tt-burger.jpg,tt-burger.jpg,TT Burger,@t.t.burger,"Na compra de 1 hambúrguer, seu acompanhante ganha outro de igual ou menor valor.",Avenida Pedroso de Morais 1081
taba-pastel.jpg,taba-pastel.jpg,Taba Pastel,@tabapastel,No primeiro carimbo: compre 1 pastel e ganhe outro pastel de qualquer sabor*. No segundo carimbo: compre 1 pastel* + 1 garrafa de 500m! de caldo de cana e seu acompanhante ganha outro pastel* + 1 garrafa de 500m! de caldo de cana. Exceto sabores especiais. Btabapastel,Rua Pedro Cristi 89
feliciana-paes.jpg,feliciana-paes.jpg,Feliciana Pães,@teliciana.paes,Na compra de 1 bebida quente + 1 pão na chapa seu acompanhante ganha outra bebida quente + 1 pão na chapa de igual ou menor valor. Válido de segunda a sexta-feira.,Rua Pedro Cristi 89
the-taco-shop.jpg,the-taco-shop.jpg,The Taco Shop,@thetacoshop_br,"Na compra de um prato, ganhe outro de igual ou menor valor.",Rua Francisco Leitão 246
cinnamon-land.jpg,cinnamon-land.jpg,Cinnamon Land,@thecinnamonland,"Na compra de 1 Cinnamon Roll, ganhe outro de igual ou menor valor.",Rua Harmonia 314
the-raven.jpg,the-raven.jpg,The Raven,@theraven.sp,"Na compra de 1 menu executivo*, seu acompanhante ganha outro menu executivo*. Entrada + Prato Principal Sobremesa.",Rua Wizard 149
toscana-focacceria.jpg,toscana-focacceria.jpg,Toscana Focacceria,@toscana.focacceria,"Na compra de qualquer item do cardápio, seu acompanhante ganha 50% de desconto no item escolhido de igual ou menor valor",Rua dos Pinheiros 257
trinca-bar.jpg,trinca-bar.jpg,Trinca Bar,@trincabar,"Na compra de 1 vermute artesanal + 1 entrada, seu acompanhante ganha outro vermute e outra entrada de igual ou menor valor.",Rua Costa Carvalho 96
